name,totplay,agelevel,is_school,howtogetthere,safelocation,shade,monitoring,programming,weather,seating,restrooms,drinkingw,activeplay,socialplay,creativeplay,naturualen,freeplay,compsum,modsum,graspvalue,playclass,subarea,created_at,updated_at,long,lat,google_placesid,imageurl,address,zip_code,pleasant_surrounding_rating,fencing_rating,disabilities_rating,musical_features_rating,swings_rating,bucket_swings_rating,sprayground_play_fountain_rating,skate_park_rating,streams_rating,slide_ratings,climbing_structures_rating,spinning_structures_rating,rocking_structure,balance_features_rating,sandbox_rating,playhouse_rating,stage_rating,path_for_wheeled_toys_rating,basketball_courts_rating,surface_marked_for_games_rating,open_space_for_ball_play,woods_rating,garden_rating,natural_elements_rating,other_cool_features,disabilities_comments,specificcomments,generalcomments
Barcroft Park,2,2 to 12,FALSE,3,3,3,,,,3,3,2,,,,,,,,,,,,,-77.10190187,38.85054828,,,4200 S Four Mile Run Dr,22206,3,2,2,1,2,2,1,1,2,2,2,1,2,1,2,1,1,2,2,1,2,2,1,2,,,,"Water fountains are seasonal. Barcroft in the Woods (behind baseball fields) has swings. The age 2-5 area is on wood chips, but has a few features for children with disabilities. Other features include soccer field, backboard for ball-throwing, many baseball fields."
Barrett Elementary School,1,2 to 12,TRUE,3,3,1,,,,2,1,1,,,,,,,,,,,,,-77.11201466,38.87281335,,,4401 N Henderson Road,22203,3,3,2,2,1,1,1,1,1,2,2,1,1,2,1,2,1,2,2,2,2,1,2,1,,,,"There are two play structures in this playground. The one for younger kids is behind the trailers, and includes a community garden and a cool mosaic. There is also a softball field with a seating area. Lubber Run Community Center is steps away, and bathrooms are available there during open hours. "
Benjamin Banneker Park,1,2 to 12,FALSE,3,3,3,,,,3,1,2,,,,,,,,,,,,,-77.15795947,38.88318332,,,6620 N 18th St,22205,2,1,2,1,1,2,1,1,1,2,2,1,1,1,1,1,1,2,1,1,1,2,1,2,,,,Playground has limited play area and is not fenced. Lots of room to run around and interact with natural surroundings in a wooded area. Metro is very close to the area; parking is very limited because you must park on the side of the street beside the park. It is within a neighborhood and the W&OD trail runs through the park.
Big Walnut Park,1,2 to 5,FALSE,3,3,2,,,,3,1,1,,,,,,,,,,,,,-77.13216423,38.89175639,,,1915 N Harrison St,22207,3,2,2,1,1,1,1,1,1,1,2,2,2,2,2,1,1,1,1,1,1,2,2,3,,,,
Bluemont Park,2,2 to 12,FALSE,2,3,3,,,,3,3,2,,,,,,,,,,,,,-77.13392696,38.87354079,,,601 N Manchester St,22203,3,2,2,2,2,2,1,1,2,2,2,1,2,2,2,2,1,2,1,1,1,2,1,2,,,,Small climbing web feature. Playground not visible from parking lot; use the trail on the right-hand side as you face the school. Plenty of public parking at school during hours open to the public.
Bon Air Park,2,2 to 12,FALSE,3,3,1,,,,2,3,2,,,,,,,,,,,,,-77.13311563,38.87559187,,,850 N Lexington St,22205,3,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,1,2,2,2,3,,,,The playground is very hard to reach from 8th road north; access from the intersection of 5th road N and N Montague St. Has a boat ship theme; some of the play area has shade. There is a path for a nature walk that leads to two other playgrounds which are well shaded. Restrooms closed during part of the year. 
Butler Holmes Park,1,2 to 5,FALSE,3,3,2,,,,3,1,1,,,,,,,,,,,,,-77.0851106,38.87271445,,,101 S Barton Street,22204,3,2,2,1,2,1,1,1,1,1,2,2,1,1,1,1,1,1,2,1,1,1,1,3,,,,"Wheelchair accessible to park structures, no specific handicap structures. Picnic table is wheelchair-accessible."
Campbell Elementary School,1,2 to 12,TRUE,,,,,,,,1,1,,,,,,,,,,,,,-77.12611493,38.85790082,,,737 S Carlin Springs Road,22204,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carlin Hall Community Center & Park,2,2 to 12,FALSE,3,3,1,,,,2,1,1,,,,,,,,,,,,,-77.12616205,38.86319523,,,5711 4th St S,22204,3,3,1,1,2,1,1,1,1,2,2,1,2,1,1,1,1,1,1,1,2,1,2,2,,,,Not all benches have back rests. Not well marked as a public playground.
Carlin Springs Elementary School,1,2 to 12,TRUE,,,,,,,,1,1,,,,,,,,,,,,,-77.13189241,38.8627056,,,5995 S Carlin Springs Road,22204,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carver Community Center/Hoffman Boston Elementary School,1,2 to 12,TRUE,3,3,2,,,,3,1,1,,,,,,,,,,,,,-77.07184055,38.86153376,,,1415 S Queen St,22204,3,3,3,1,2,2,1,1,1,2,2,2,2,2,1,2,1,2,2,1,2,1,1,3,,,,"Huge playground with multiple attractions, including swing for children with disabilities, tennis courts, basketball court, soccer field. Community Center open 6pm-9pm. No dogs allowed. "
Cherrydale Park,1,2 to 12,FALSE,2,3,2,,,,3,1,1,,,,,,,,,,,,,-77.10710644,38.89890868,,,2176 N Pollard St,22207,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,,,,"Very small neighborhood park, mulch surfacing. Not easily visible from the street. Parking available across the street. "
Chestnut Hills Park,2,2 to 12,FALSE,2,3,3,,,,3,1,1,,,,,,,,,,,,,-77.14267301,38.9006258,,,2807 N Harrison St,22207,3,3,2,2,2,2,1,1,1,2,2,1,1,2,2,2,1,2,1,1,1,2,1,2,,,,The ART Bus 52 stops at corner of Harrison and Little Falls; short walk from there.
Claremont Elementary School,1,2 to 12,TRUE,2,3,1,,,,2,1,2,,,,,,,,,,,,,-77.10588188,38.8477288,,,4700 S Chesterfield Road,22206,3,1,1,1,1,1,1,1,1,2,2,1,1,2,1,2,1,1,1,1,2,2,2,3,,,,
Clarenford Station Park,2,2 to 12,FALSE,3,3,3,,,,3,1,1,,,,,,,,,,,,,-77.11544902,38.88732725,,,1300 N Vermont St,22201,2,3,1,1,1,2,1,1,1,2,2,2,1,1,2,1,1,2,1,1,2,1,1,2,,Mulch surface.,,Two play structures: one for smaller children and one for larger. The path for wheeled toys is a long stretch of sidewalk along a quiet street. Open space for ball play outside the gated play area. About four blocks from Ballston Metro Station. Unmetered street parking available for about 12 cars (2 hour).
Dawson Terrace,,,FALSE,,,,,,,,,,,,,,,,,,,,,,-77.08287215,38.89942783,,,2133 N Taft St,22201,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doctor's Branch Park,2,2 to 12,FALSE,3,3,1,,,,3,1,2,,,,,,,,,,,,,-77.09995473,38.85612085,,,1301 S George Mason Dr,22204,3,1,1,1,2,2,1,1,1,2,2,1,1,2,2,2,1,2,1,1,1,2,1,3,,,,Volleyball court. Street parking; Capital Bikeshare station by park. 
Douglas Park,2,2 to 12,FALSE,3,3,3,,,,3,1,1,,,,,,,,,,,,,-77.09645016,38.8527326,,,1718 S Quincy St,22204,3,2,1,2,2,1,1,1,1,2,2,1,2,2,2,2,1,2,1,1,2,2,1,3,,,,Sides of park connected by bridge. Dog friendly. Paths to take walks/hiking paths. Parking lot restricted from 9pm-6am.
Drew Park/Drew School,2,2 to 12,TRUE,3,3,3,,,,3,1,2,,,,,,,,,,,,,-77.08679851,38.84818166,,,3500 23rd South,22206,3,3,3,2,2,2,2,1,1,2,2,2,2,2,1,2,1,2,2,2,2,1,2,3,,more at school park than park itself,,"School park features include playhouse, garden plots, marked pavement for games, and many more accessible spaces for children with disabilities.  Baseball field. No woods, but nice open spaces and hill with trees."
Eads Park,1,2 to 12,FALSE,3,3,2,,,,2,1,1,,,,,,,,,,,,,-77.05520173,38.84813564,,,2730 S Eads St,22202,2,2,1,1,1,1,1,1,1,2,2,1,2,1,1,1,1,2,1,1,2,1,1,3,,,,Note: Path on relatively steep hill. Playground is fenced and surfaces are mulched. Open/soccer field fenced on three sides. Street parking only.
Edison Park,1,2 to 5,FALSE,2,3,3,,,,3,1,1,,,,,,,,,,,,,-77.12103516,38.86931587,,,213 N Edison St,22203,2,2,1,1,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,2,,,,Street parking only.
Fairlington Community Center & Park,2,2 to 12,FALSE,3,3,3,,,,3,3,1,,,,,,,,,,,,,-77.08717344,38.83450222,,,3308 S Stafford St,22206,3,2,2,1,2,2,1,1,1,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,,,,
Fillmore Park/ Long Branch Elementary,1,2 to 12,FALSE,3,3,1,,,,3,1,1,,,,,,,,,,,,,-77.08915535,38.87496268,,,33 N Fillmore St,22201,3,3,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,2,2,2,2,1,1,1,,,,
Fort Barnard Park,2,2 to 12,FALSE,3,3,2,,,,3,1,2,,,,,,,,,,,,,-77.09247624,38.84919854,,,2101 S Pollard St,22204,3,1,2,1,2,2,1,1,1,2,2,2,2,1,1,1,1,2,2,2,2,1,1,1,,,,"Visible from Walter Reed Dr. Parking is limited to neighborhood streets. Very attractive, new playground. Loads of benches. There is a nice Gazebo for picnicking and shade. Surfaces are soft (not mulch), which would easily be navigable by a wheelchair; large swing. Water fountain is only on seasonally and is adjacent to the basketball court (which has lights for night play)."
Fort Ethan Allen Park,1,2 to 5,FALSE,3,3,3,,,,3,1,1,,,,,,,,,,,,,-77.12371293,38.92325141,,,3829 N Stafford St,22207,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,3,,,,There is no play equipment at this park.  There is a gazebo with benches and a historical sign.
Fort Myer Heights Park,1,2 to 12,FALSE,2,3,3,,,,3,1,1,,,,,,,,,,,,,-77.0750816,38.89071768,,,1400 Fort Myer Dr,22201,3,3,2,1,2,2,1,1,1,2,2,1,1,1,2,1,1,2,2,1,1,2,1,2,,,,"There is a bus stop right outside it but it is far from a nearby metro. Located immediately above route 50 (Arlington Boulevard). There is a basketball court but you have to go up steep steps (that are not enclosed by a gate) to get to it. The park space is on hard surface or fake grass so it would be easy for a wheelchair to navigate, but the space is tight between play structures. Next to the sand box is a water fountain for play with water and sand. The two play structures are fun because the slides are tree trunks so the slide is a tunnel."
Fort Scott Playground,2,2 to 12,FALSE,2,3,3,,,,3,3,2,,,,,,,,,,,,,-77.05860634,38.84737009,,,2800 S Fort Scott Dr,22202,3,2,1,1,2,2,1,1,1,2,2,2,2,1,2,2,1,2,2,1,2,1,1,3,,,,"Play surface is mostly mulch. Tennis courts, baseball field available. Parking lot available; nearest bus route ~3 blocks away, down a relatively steep hill. Restrooms closed October to March."
Foxcroft Heights Park,2,2 to 5,FALSE,3,3,2,,,,3,1,1,,,,,,,,,,,,,-77.07079628,38.86868739,,,801 S Oak St,22211,2,2,1,1,1,1,1,1,1,2,2,1,1,2,1,2,1,2,1,1,1,1,1,1,,,,Great view of Arlington National Cemetery and Air Force monument. Playground is on an historical landmark. Dogs must be on leash. Limited parking; street parking in restricted zone areas.
Glebe Elementary School,1,2 to 12,TRUE,,,,,,,,1,1,,,,,,,,,,,,,-77.12106741,38.89257194,,,1770 N Glebe Road,22207,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glebe Road Park,2,2 to 12,FALSE,3,3,3,,,,2,1,2,,,,,,,,,,,,,-77.1257555,38.92140953,,,4211 N Old Glebe Rd,22207,2,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,2,1,3,,,,"Swings are the only play equipment.  There are also tennis courts, basketball courts, and an open asphalt court for ball play, scooters, chalk, etc.  Paths/trails through wooded areas, too. There is a parking lot. "
Glencarlyn Park,1,2 to 12,FALSE,2,3,3,,,,3,3,2,,,,,,,,,,,,,-77.11909705,38.86397848,,,301 S Harrison St,22204,3,1,1,1,2,1,1,1,2,2,2,2,2,2,2,1,1,2,1,1,1,2,1,3,,,,"Not visible from any streets; need to know the location of the park, by car or walking. No rails on the bridge that goes over the stream. Walking trails around area. Shelters can be reserved. Outdoor grills."
Gunston Park,1,2 to 12,FALSE,3,3,3,,,,2,1,1,,,,,,,,,,,,,-77.07101377,38.84717915,,,2700 Lang St S,22206,3,1,1,1,2,2,1,1,1,2,2,1,2,2,1,1,1,2,2,1,2,1,1,2,,,,
Hayes park,2,2 to 5,FALSE,2,3,3,,,,3,3,2,,,,,,,,,,,,,-77.10419126,38.88970774,,,1516 N Lincoln St,22201,2,3,1,1,2,2,2,1,1,2,2,2,2,1,1,1,1,2,2,1,1,1,1,3,,,,Picnic area. Lighted basketball and tennis courts for nighttime use. Sprayground available Memorial Day to Labor Day. Wheelchair access.
HB Woodlawn School,1,2 to 12,TRUE,,,,,,,,1,1,,,,,,,,,,,,,-77.11120983,38.90049308,,,4100 Vacation Ln,22207,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Henry Clay Park,2,2 to 12,FALSE,3,3,2,,,,3,1,2,,,,,,,,,,,,,-77.09404741,38.88130437,,,3011 7th St N,22201,3,2,1,1,1,2,1,1,1,2,2,1,1,1,2,1,1,2,2,1,2,1,1,2,,,,Only the basketball court is accessible for children with disabilities.
Henry Wright Park,1,2 to 12,FALSE,3,3,1,,,,3,1,2,,,,,,,,,,,,,-77.11027028,38.87163869,,,4350 4th St N,22203,3,3,1,1,1,1,1,1,1,2,2,1,2,1,1,1,1,2,1,1,2,1,1,2,,,,Playground is accessible by wheelchair but no specific features for children with disabilities. Floor of the play area is rubber.
High View Park,1,2 to 12,FALSE,3,2,2,,,,3,3,2,,,,,,,,,,,,,-77.12713826,38.89373452,,,1945 N Dinwiddie St,22207,3,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,1,2,2,1,2,1,1,2,,,,The 2-5 area is fenced in; the rest of the play area is partially fenced. There is a picnic pavilion.
Jamestown Elementary,1,2 to 5,TRUE,3,3,3,,,,3,1,1,,,,,,,,,,,,,-77.1394408,38.91721561,,,3700 N Delaware Street,22207,3,2,2,1,1,1,1,1,1,1,2,1,2,2,1,1,1,1,1,1,2,1,1,3,,,,This a a playground with mostly climbing structures and large green space. It has the additional Gaga ball pit for a different type of ball play. Inaccessible by wheelchair; children with walkers or crutches could access some features.
Jennie Dean Park,1,2 to 5,FALSE,3,3,3,,,,3,3,2,,,,,,,,,,,,,-77.08824858,38.84352593,,,3630 27th St S,22206,2,2,1,1,2,1,1,1,1,2,2,2,1,1,2,1,1,2,1,1,2,2,1,2,,,,"Monkey bars and wide bars; 2 swings, slides and stairs. Tennis courts. Path might not accommodate wheelchair."
Key Elementary School,2,2 to 12,TRUE,3,3,1,,,,3,1,1,,,,,,,,,,,,,-77.08687154,38.89239259,,,2300 Key Blvd,22201,2,3,1,1,1,1,1,1,1,2,2,1,1,1,1,2,1,1,2,1,2,1,1,2,,,,Close to the Courthouse Metro Station.
Lacey Woods Park,2,2 to 12,FALSE,3,3,2,,,,3,1,1,,,,,,,,,,,,,-77.12676417,38.88456376,,,1200 N George Mason Dr,22205,3,2,2,1,2,2,1,1,1,2,2,1,2,1,2,1,1,2,1,1,2,2,1,2,,,,Pavilion with seating next to the play structures. Lots of seating with line of sight supervision of kids. The playground is labeled for the various age groups. Neighborhood park accessible by walking or car (street parking on perimeter of park).
Langston Brown Community Center &  Park,2,2 to 12,FALSE,3,3,2,,,,2,1,1,,,,,,,,,,,,,-77.12655976,38.89577432,,,2121 N Culpeper St,22207,2,3,2,1,2,2,1,1,1,2,1,1,1,1,1,1,1,2,2,1,2,1,1,2,,,,
Lee Community Center,1,2 to 12,FALSE,3,3,3,,,,3,1,1,,,,,,,,,,,,,-77.14319352,38.89466645,,,5722 Lee Highway,22207,2,3,1,1,1,1,1,1,1,2,2,1,2,1,2,1,1,1,2,1,2,2,1,3,,,,Baseball field.
Lubber Run Community Center,2,2 to 12,FALSE,3,3,2,,,,3,1,2,,,,,,,,,,,,,-77.11398447,38.87339412,,,300 N Park Dr,22203,3,1,1,1,2,2,1,1,1,2,1,1,1,2,2,2,1,2,2,2,2,1,1,3,,,,Not visible from N. George Mason Drive; easiest access is through Park Drive. Public transportation around the area is limited. Restrooms available in the community center when open.
Lyon Village Park,2,2 to 12,FALSE,3,3,3,,,,3,1,2,,,,,,,,,,,,,-77.09472603,38.89349116,,,1800 N Highland St,22201,3,3,1,1,2,2,2,1,1,2,2,2,2,2,2,2,1,2,2,1,1,1,1,3,,,,Street parking on perimeter of park. Clean and welcoming environment; interactive for multiple age groups. Tennis and basketball courts. Binoculars on playground and rock climbing wall. Wheelchair accessible.
Madison Community Center Park,2,2 to 12,FALSE,3,3,3,,,,3,3,2,,,,,,,,,,,,,-77.12371293,38.92325141,,,3829 N Stafford St,22207,2,3,2,2,2,2,1,1,1,2,2,1,2,2,2,1,1,2,2,1,2,1,1,2,,,,Blacktop for wheeled toys plus a huge field for ball play.  Separate play areas for younger and older children. There are several benches and picnic tables. Restrooms are in the community center. Community dog park (well-fenced) next to the playground.
Madison Manor Park,1,2 to 12,FALSE,3,3,2,,,,3,3,2,,,,,,,,,,,,,-77.15023227,38.88207468,,,6225 12th Rd N,22205,2,3,2,1,2,2,1,1,1,2,2,1,2,1,1,2,1,1,2,1,2,1,1,1,,,,"Tennis courts (reservations needed), soccer field, and covered pavilion with picnic tables and grill. Small parking lot, as well as street parking. Situated within a neighborhood, so families can also walk. Restrooms closed during winter months."
Maury Park,1,2 to 12,FALSE,3,3,3,,,,3,3,1,,,,,,,,,,,,,-77.1020934,38.88173516,,,3550 Wilson Blvd,22201,3,2,2,1,1,1,1,1,1,1,2,2,1,1,1,1,1,2,1,1,2,1,1,3,,,,"Play structure is a piece of interactive sculpture created by a German artist to match the same one he created for Aachen, Arlington's German sister city.  It's a play ship with a spinning bottom and kaleidoscope ""telescopes"" on the top level. It's located at the southwest corner of the Arlington Arts Center lawn. Surface is molded foam.  One steering wheel element is accessible from the ground. There are temporary art installments on the lawn of the Arlington Arts Center. Tennis courts; two large grassy areas. Parking lot (~25 spaces) for Center and park visitors. Two blocks from Virginia Square Metro Station; bus stop on Wilson Blvd. Restrooms in the Arts Center. "
Maywood Park,1,2 to 5,FALSE,2,3,2,,,,3,1,1,,,,,,,,,,,,,-77.10015946,38.89753245,,,3210 22nd St N,22201,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,,,,Small playground for young children.
McKinley Elementary,2,2 to 12,TRUE,3,3,1,,,,3,1,1,,,,,,,,,,,,,-77.14674172,38.87865535,,,1030 N McKinley Road,22205,3,2,1,1,1,1,1,1,1,2,2,2,1,1,2,1,1,1,2,2,2,1,2,1,,,,"Playground has mulch in play areas, which are separated by age group. Preschool area is over by the huts. There is no seating; trees and houses line the backside of the park. Located at a neighborhood schoo; may not be accessible during non school hours. The field  is for use by permit only. No dogs are allowed in the area. Ample parking in the school parking lot. "
Monroe Park,2,2 to 12,FALSE,2,3,2,,,,2,1,1,,,,,,,,,,,,,-77.09262083,38.85741382,,,1330 S Monroe St,22204,3,3,1,1,2,2,1,1,1,2,2,1,2,2,2,2,1,2,1,1,2,1,1,3,chalkboard,,,"Chalkboard, community posting board for people to post community events. Dog friendly, but must have leash."
Mosaic Park,1,2 to 5,FALSE,3,3,1,,,,3,1,1,,,,,,,,,,,,,-77.10692695,38.87797627,,,538 N. Pollard St,22203,2,2,1,1,1,1,1,2,1,1,2,1,2,2,2,1,1,2,1,1,2,1,1,1,,,,"Skate board features are not separate from the playground area itself, which could be challenging for minding young children. Entrance to the park somewhat hidden; approach  from route 50 (Arlington Boulevard). Some GPS will direct you to the wrong side of the park. No public restrooms at the site, but a couple of kid friendly restaurants are located across the street. "
Nauck Park,1,2 to 5,FALSE,2,3,3,,,,3,3,1,,,,,,,,,,,,,-77.08216466,38.85497251,,,2551 19th St S,22204,2,3,1,1,2,1,1,1,1,2,1,2,1,1,1,1,1,2,1,1,2,2,1,3,,,,"Limited play features: two swings, a slide and a spinning seat. Limited open space. Woods area is beyond the park fence. Seems very isolated on a dead end street. Clean, but no art or decorative features."
Nelly Custis Park,2,2 to 5,FALSE,3,3,3,,,,3,1,1,,,,,,,,,,,,,-77.05779601,38.85259576,,,701 24th St S,22202,3,3,1,1,2,1,1,1,1,2,2,1,1,1,1,1,1,2,1,1,2,1,1,3,,,,"Great (paved) path for young kids to use wheeled toys. Play area mostly mulch and grass. Bus stop ~1 block away; another line ~4 blocks away. Easy to drive to, but only street parking available with permit. No decorative elements, but attractive park."
Nina Park,2,2 to 5,FALSE,3,3,3,,,,3,1,1,,,,,,,,,,,,,-77.05977366,38.85207851,,,800 24th St S,22202,2,3,2,1,1,2,1,1,1,1,1,1,1,1,2,1,1,2,1,1,2,1,1,2,,,,"Lots of riding toys and plastic play equipment for young children. Also features a ""wave wall"" and pretend boat. Surface includes grass and sand, but there are some areas accessible to children with physical disabilities. Bus stop ~1 block away. Easy to drive to, but only street parking only available with permit."
Nottingham Elementary School,1,2 to 12,TRUE,2,3,1,,,,3,1,1,,,,,,,,,,,,,-77.1509256,38.90061269,,,5900 N Little Falls Road,22207,3,2,1,1,1,1,1,1,1,2,2,1,1,2,1,1,1,2,2,2,2,1,1,1,,,,"The 2-5 playground is in front of the school, and the play features for older children are behind the school with the fields."
Oakgrove Park,1,2 to 12,FALSE,,,,,,,,1,1,,,,,,,,,,,,,-77.10886673,38.89051345,,,1606 N Quincy St,22207,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oakridge Elementary School,1,2 to 12,TRUE,2,3,1,,,,2,1,1,,,,,,,,,,,,,-77.07024031,38.85051088,,,1414 24th Street S,22202,3,1,1,1,1,1,1,1,1,2,2,1,1,2,1,1,1,2,2,2,2,2,2,3,,,,"Two play areas: one for young children 2-5, 5 - 12 and then a play area for older children. Both play areas are not viewable at the same time, so caregivers must choose which area to stay in. Both play areas are on mulch, so are not wheelchair friendly. Outside school hours, playground is typically not crowded."
Parkhurst Park,2,2 to 12,FALSE,3,3,3,,,,3,3,2,,,,,,,,,,,,,-77.14179047,38.88934493,,,5820 20th Rd N,22205,3,3,2,1,1,2,1,1,1,2,2,1,1,1,2,2,1,1,2,1,1,2,1,2,,,,"Playground has a nice layout, and the areas are divided by age-appropriate toys and activities. The woods help the setting seem less urban. Pavilion available with shade and seating. Restrooms closed during winter."
Patrick Henry Elementary,2,2 to 12,TRUE,3,3,1,,,,2,1,1,,,,,,,,,,,,,-77.08882425,38.86578637,,,701 S Highland Street,22204,3,3,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,2,,,,
Penrose Park,2,2 to 12,FALSE,2,3,3,,,,3,1,1,,,,,,,,,,,,,-77.08269487,38.86860668,,,2200 6th St S,22204,3,3,2,1,2,2,1,1,1,2,2,2,2,1,2,2,1,2,2,1,2,2,1,2,,,,Park is hidden in a residential area. Nice gazebo with picnic tables and a wooded picnic area with grills. On-street parking.
Powhatan Springs Skate Park,1,2 to 5,FALSE,3,,,,,,,3,2,,,,,,,,,,,,,-77.9273869,38.9023452,,,6020 Wilson Boulevard,22205,,,,,,,,2,,,,,,,,,,,,,,,,,,,,Open sunrise to 9 pm Sunday through Thursday; sunrise to 10 pm Friday and Saturday.
Quincy park,1,2 to 5,FALSE,3,3,3,,,,2,3,2,,,,,,,,,,,,,-77.10762848,38.88453276,,,1021 N Quincy St,22201,3,1,1,1,1,1,1,1,1,2,1,1,1,1,2,2,1,2,2,1,2,1,1,3,,,,"Grills and picnic tables, volleyball court, baseball field, tennis courts. Surface parking lot shared with (adjacent) Central Library."
Randolph Elementary,1,2 to 12,TRUE,3,3,1,,,,3,1,1,,,,,,,,,,,,,-77.09806483,38.85656421,,,1306 S Quincy Street,22204,3,2,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,2,1,2,1,1,1,,,,
