Id,Name,Mapid,Totplay,2-5,5-12,Opentopublic,School,Howtogetthere,Safelocation,Shade,Monitoring,Programming,Weather,Seating,Restrooms,Drinkingw,Activeplay,Socialplay,Creativeplay,Naturualen,Freeplay,Compsum,Modsum,Graspvalue,Playclass,Subarea,Created at,Updated at,Lat,Long,Google placesid,Imageurl,Address,Zip Code,Pleasant Surrounding,Fencing,Features for Children with Disabilities,Musical Feature,Swings,Bucket swings (for younger children),Sprayground/Play fountain,Skate Park,Stream,Slide(s),Climbing Structure(s),Spinning Structure(s),Rocking Structure(s),Balance feature(s),Sandbox,Playhouse,Stage,Path for wheeled toys/small bikes,Basketball court,Surface marked for games,Open space for ball play,Woods,Garden,Natural Elements,Please indicate any other cool features not mentioned above,Comments on features for children with Disabilities,Specificcomments,Generalcomments
,Carlin Springs Elementary School,,1,2 ,2,2,"School playgrounds are open after school and on the weekends.  However, school activities, including Extended Day have priority use.  Children are expected to be supervised by an adult while using the playgrounds.",,,,,,,,1,1,,,,,,,,,,,,,-77.13189240800,38.86270559500,,,5995 S Carlin Springs Road,22204,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Carver Community Center/Hoffman Boston Elementary School,,1,2 ,2 ,2,"School playgrounds are open after school and on the weekends.  However, school activities, including Extended Day have priority use.  Children are expected to be supervised by an adult while using the playgrounds.",3,3,2,,,,3,1,1,,,,,,,,,,,,,-77.071840550653,38.8615337612805,,,1415 S Queen St,22204,3,3,3,1,2,2,1,1,1,2,2,2,2,2,1,2,1,2,2,1,2,1,1,3,,,,"Huge playground with multiple attractions, including swing for children with disabilities, tennis courts, basketball court, soccer field. Community Center open 6pm-9pm. No dogs allowed. "
,Cherrydale Park,,1,2 ,2 ,3,,2,3,2,,,,3,1,1,,,,,,,,,,,,,-77.1071064438968,38.8989086788329,,,2176 N Pollard St,22207,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,,,,"Very small neighborhood park, mulch surfacing. Not easily visible from the street. Parking available across the street. "
,Chestnut Hills Park,,2,2,2 ,3,,2,3,3,,,,3,1,1,,,,,,,,,,,,,-77.142673012404,38.900625796868,,,2807 N Harrison St,22207,3,3,2,2,2,2,1,1,1,2,2,1,1,2,2,2,1,2,1,1,1,2,1,2,,,,The ART Bus 52 stops at corner of Harrison and Little Falls; short walk from there.
,Claremont Elementary School,,1,2 ,2,2,"School playgrounds are open after school and on the weekends.  However, school activities, including Extended Day have priority use.  Children are expected to be supervised by an adult while using the playgrounds.",2,3,1,,,,2,1,2,,,,,,,,,,,,,-77.10588188100,38.84772879790,,,4700 S Chesterfield Road,22206,3,1,1,1,1,1,1,1,1,2,2,1,1,2,1,2,1,1,1,1,2,2,2,3,,,,
,Clarenford Station Park,,2,2 ,2 ,3,,3,3,3,,,,3,1,1,,,,,,,,,,,,,-77.1154490162599,38.8873272526714,,,1300 N Vermont St,22201,2,3,1,1,1,2,1,1,1,2,2,2,1,1,2,1,1,2,1,1,2,1,1,2,,Mulch surface.,,Two play structures: one for smaller children and one for larger. The path for wheeled toys is a long stretch of sidewalk along a quiet street. Open space for ball play outside the gated play area. About four blocks from Ballston Metro Station. Unmetered street parking available for about 12 cars (2 hour).
,Dawson Terrace,,,,,,,,,,,,,,,,,,,,,,,,,,,,-77.0828721513016,38.8994278272878,,,2133 N Taft St,22201,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Doctor's Branch Park,,2,2 ,2,3,,3,3,1,,,,3,1,2,,,,,,,,,,,,,-77.09995472950,38.85612084740,,,1301 S George Mason Dr,22204,3,1,1,1,2,2,1,1,1,2,2,1,1,2,2,2,1,2,1,1,1,2,1,3,,,,Volleyball court. Street parking; Capital Bikeshare station by park. 
,Douglas Park,,2,2 ,2 ,3,,3,3,3,,,,3,1,1,,,,,,,,,,,,,-77.0964501648897,38.8527326021773,,,1718 S Quincy St,22204,3,2,1,2,2,1,1,1,1,2,2,1,2,2,2,2,1,2,1,1,2,2,1,3,,,,Sides of park connected by bridge. Dog friendly. Paths to take walks/hiking paths. Parking lot restricted from 9pm-6am.
,Drew Park/Drew School,,2,2,2 ,3,"School playgrounds are open after school and on the weekends.  However, school activities, including Extended Day have priority use.  Children are expected to be supervised by an adult while using the playgrounds.",3,3,3,,,,3,1,2,,,,,,,,,,,,,-77.0867985067262,38.8481816616259,,,3500 23rd South,22206,3,3,3,2,2,2,2,1,1,2,2,2,2,2,1,2,1,2,2,2,2,1,2,3,,more at school park than park itself,,"School park features include playhouse, garden plots, marked pavement for games, and many more accessible spaces for children with disabilities.  Baseball field. No woods, but nice open spaces and hill with trees."
,Eads Park,,1,2 ,2 ,3,,3,3,2,,,,2,1,1,,,,,,,,,,,,,-77.0552017254745,38.848135637953,,,2730 S Eads St,22202,2,2,1,1,1,1,1,1,1,2,2,1,2,1,1,1,1,2,1,1,2,1,1,3,,,,Note: Path on relatively steep hill. Playground is fenced and surfaces are mulched. Open/soccer field fenced on three sides. Street parking only.
,Edison Park,,1,2 ,1,3,,2,3,3,,,,3,1,1,,,,,,,,,,,,,-77.1210351589544,38.8693158679676,,,213 N Edison St,22203,2,2,1,1,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,2,,,,Street parking only.
,Fairlington Community Center & Park,,2,2 ,2 ,3,,3,3,3,,,,3,3,1,,,,,,,,,,,,,-77.0871734418815,38.834502219376,,,3308 S Stafford St,22206,3,2,2,1,2,2,1,1,1,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,,,,
,Fillmore Park/ Long Branch Elementary,,1,2 ,2,3,,3,3,1,,,,3,1,1,,,,,,,,,,,,,-77.0891553458549,38.8749626847659,,,33 N Fillmore St,22201,3,3,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,2,2,2,2,1,1,1,,,,
,Fort Barnard Park,,2,2 ,2 ,3,,3,3,2,,,,3,1,2,,,,,,,,,,,,,-77.0924762394277,38.8491985387772,,,2101 S Pollard St,22204,3,1,2,1,2,2,1,1,1,2,2,2,2,1,1,1,1,2,2,2,2,1,1,1,,,,"Visible from Walter Reed Dr. Parking is limited to neighborhood streets. Very attractive, new playground. Loads of benches. There is a nice Gazebo for picnicking and shade. Surfaces are soft (not mulch), which would easily be navigable by a wheelchair; large swing. Water fountain is only on seasonally and is adjacent to the basketball court (which has lights for night play)."
,Fort Ethan Allen Park,,1,1,2,3,,3,3,3,,,,3,1,1,,,,,,,,,,,,,-77.1237129313654,38.9232514054662,,,3829 N Stafford St,22207,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,3,,,,There is no play equipment at this park.  There is a gazebo with benches and a historical sign.
,Fort Myer Heights Park,,1,2 ,2 ,3,,2,3,3,,,,3,1,1,,,,,,,,,,,,,-77.0750816029491,38.89071768295,,,1400 Fort Myer Dr,22201,3,3,2,1,2,2,1,1,1,2,2,1,1,1,2,1,1,2,2,1,1,2,1,2,,,,"There is a bus stop right outside it but it is far from a nearby metro. Located immediately above route 50 (Arlington Boulevard). There is a basketball court but you have to go up steep steps (that are not enclosed by a gate) to get to it. The park space is on hard surface or fake grass so it would be easy for a wheelchair to navigate, but the space is tight between play structures. Next to the sand box is a water fountain for play with water and sand. The two play structures are fun because the slides are tree trunks so the slide is a tunnel."
,Fort Scott Playground,,2,2,2 ,3,,2,3,3,,,,3,3,2,,,,,,,,,,,,,-77.0586063409435,38.8473700859846,,,2800 S Fort Scott Dr,22202,3,2,1,1,2,2,1,1,1,2,2,2,2,1,2,2,1,2,2,1,2,1,1,3,,,,"Play surface is mostly mulch. Tennis courts, baseball field available. Parking lot available; nearest bus route ~3 blocks away, down a relatively steep hill. Restrooms closed October to March."
,Foxcroft Heights Park,,2,2 ,1,3,,3,3,2,,,,3,1,1,,,,,,,,,,,,,-77.0707962763107,38.8686873931188,,,801 S Oak St,22211,2,2,1,1,1,1,1,1,1,2,2,1,1,2,1,2,1,2,1,1,1,1,1,1,,,,Great view of Arlington National Cemetery and Air Force monument. Playground is on an historical landmark. Dogs must be on leash. Limited parking; street parking in restricted zone areas.
,Glebe Elementary School,,1,2 ,2,2,"School playgrounds are open after school and on the weekends.  However, school activities, including Extended Day have priority use.  Children are expected to be supervised by an adult while using the playgrounds.",,,,,,,,1,1,,,,,,,,,,,,,-77.12106741370,38.89257194220,,,1770 N Glebe Road,22207,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Glebe Road Park,,2,2 ,2,3,,3,3,3,,,,2,1,2,,,,,,,,,,,,,-77.1257554987603,38.9214095287478,,,4211 N Old Glebe Rd,22207,2,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,2,1,3,,,,"Swings are the only play equipment.  There are also tennis courts, basketball courts, and an open asphalt court for ball play, scooters, chalk, etc.  Paths/trails through wooded areas, too. There is a parking lot. "
,Glencarlyn Park,,1,2 ,2 ,3,,2,3,3,,,,3,3,2,,,,,,,,,,,,,-77.1190970454709,38.8639784803847,,,301 S Harrison St,22204,3,1,1,1,2,1,1,1,2,2,2,2,2,2,2,1,1,2,1,1,1,2,1,3,,,,"Not visible from any streets; need to know the location of the park, by car or walking. No rails on the bridge that goes over the stream. Walking trails around area. Shelters can be reserved. Outdoor grills."
,Gunston Park,,1,2 ,2 ,3,,3,3,3,,,,2,1,1,,,,,,,,,,,,,-77.0710137666168,38.8471791531945,,,2700 Lang St S,22206,3,1,1,1,2,2,1,1,1,2,2,1,2,2,1,1,1,2,2,1,2,1,1,2,,,,
,Hayes park,,2,2 ,1,3,,2,3,3,,,,3,3,2,,,,,,,,,,,,,-77.1041912613574,38.8897077374916,,,1516 N Lincoln St,22201,2,3,1,1,2,2,2,1,1,2,2,2,2,1,1,1,1,2,2,1,1,1,1,3,,,,Picnic area. Lighted basketball and tennis courts for nighttime use. Sprayground available Memorial Day to Labor Day. Wheelchair access.
,HB Woodlawn School,,1,2 ,2,2,"School playgrounds are open after school and on the weekends.  However, school activities, including Extended Day have priority use.  Children are expected to be supervised by an adult while using the playgrounds.",,,,,,,,1,1,,,,,,,,,,,,,-77.11120983390,38.90049308310,,,4100 Vacation Ln,22207,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Henry Clay Park,,2,2 ,2,3,,3,3,2,,,,3,1,2,,,,,,,,,,,,,-77.0940474083379,38.8813043723042,,,3011 7th St N,22201,3,2,1,1,1,2,1,1,1,2,2,1,1,1,2,1,1,2,2,1,2,1,1,2,,,,Only the basketball court is accessible for children with disabilities.
,Henry Wright Park,,1,2 ,2 ,3,,3,3,1,,,,3,1,2,,,,,,,,,,,,,-77.1102702775469,38.8716386866684,,,4350 4th St N,22203,3,3,1,1,1,1,1,1,1,2,2,1,2,1,1,1,1,2,1,1,2,1,1,2,,,,Playground is accessible by wheelchair but no specific features for children with disabilities. Floor of the play area is rubber.
,High View Park,,1,2,2 ,3,,3,2,2,,,,3,3,2,,,,,,,,,,,,,-77.1271382599785,38.8937345212426,,,1945 N Dinwiddie St,22207,3,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,1,2,2,1,2,1,1,2,,,,The 2-5 area is fenced in; the rest of the play area is partially fenced. There is a picnic pavilion.
,Jamestown Elementary,,1,1,2 ,2,"School playgrounds are open after school and on the weekends.  However, school activities, including Extended Day have priority use.  Children are expected to be supervised by an adult while using the playgrounds.",3,3,3,,,,3,1,1,,,,,,,,,,,,,-77.13944080090,38.91721560910,,,3700 N Delaware Street,22207,3,2,2,1,1,1,1,1,1,1,2,1,2,2,1,1,1,1,1,1,2,1,1,3,,,,This a a playground with mostly climbing structures and large green space. It has the additional Gaga ball pit for a different type of ball play. Inaccessible by wheelchair; children with walkers or crutches could access some features.
,Jennie Dean Park,,1,1,2 ,3,,3,3,3,,,,3,3,2,,,,,,,,,,,,,-77.0882485830786,38.8435259308146,,,3630 27th St S,22206,2,2,1,1,2,1,1,1,1,2,2,2,1,1,2,1,1,2,1,1,2,2,1,2,,,,"Monkey bars and wide bars; 2 swings, slides and stairs. Tennis courts. Path might not accommodate wheelchair."
,Key Elementary School,,2,2 ,2,2,"School playgrounds are open after school and on the weekends.  However, school activities, including Extended Day have priority use.  Children are expected to be supervised by an adult while using the playgrounds.",3,3,1,,,,3,1,1,,,,,,,,,,,,,-77.08687153580,38.89239259090,,,2300 Key Blvd,22201,2,3,1,1,1,1,1,1,1,2,2,1,1,1,1,2,1,1,2,1,2,1,1,2,,,,Close to the Courthouse Metro Station.
,Lacey Woods Park,,2,2 ,2,3,,3,3,2,,,,3,1,1,,,,,,,,,,,,,-77.1267641736495,38.8845637604099,,,1200 N George Mason Dr,22205,3,2,2,1,2,2,1,1,1,2,2,1,2,1,2,1,1,2,1,1,2,2,1,2,,,,Pavilion with seating next to the play structures. Lots of seating with line of sight supervision of kids. The playground is labeled for the various age groups. Neighborhood park accessible by walking or car (street parking on perimeter of park).
,Langston Brown Community Center &  Park,,2,2 ,2,3,,3,3,2,,,,2,1,1,,,,,,,,,,,,,-77.1265597607825,38.895774323185,,,2121 N Culpeper St,22207,2,3,2,1,2,2,1,1,1,2,1,1,1,1,1,1,1,2,2,1,2,1,1,2,,,,
,Lee Community Center,,1,2 ,2,3,,3,3,3,,,,3,1,1,,,,,,,,,,,,,-77.143193520752,38.89466645358,,,5722 Lee Highway,22207,2,3,1,1,1,1,1,1,1,2,2,1,2,1,2,1,1,1,2,1,2,2,1,3,,,,Baseball field.
,Lubber Run Community Center,,2,2 ,2,3,,3,3,2,,,,3,1,2,,,,,,,,,,,,,-77.1139844664006,38.8733941195875,,,300 N Park Dr,22203,3,1,1,1,2,2,1,1,1,2,1,1,1,2,2,2,1,2,2,2,2,1,1,3,,,,Not visible from N. George Mason Drive; easiest access is through Park Drive. Public transportation around the area is limited. Restrooms available in the community center when open.
,Lyon Village Park,,2,2 ,2 ,3,,3,3,3,,,,3,1,2,,,,,,,,,,,,,-77.0947260319738,38.8934911646669,,,1800 N Highland St,22201,3,3,1,1,2,2,2,1,1,2,2,2,2,2,2,2,1,2,2,1,1,1,1,3,,,,Street parking on perimeter of park. Clean and welcoming environment; interactive for multiple age groups. Tennis and basketball courts. Binoculars on playground and rock climbing wall. Wheelchair accessible.
,Madison Community Center Park,,2,2 ,2,3,,3,3,3,,,,3,3,2,,,,,,,,,,,,,-77.1237129313654,38.9232514054662,,,3829 N Stafford St,22207,2,3,2,2,2,2,1,1,1,2,2,1,2,2,2,1,1,2,2,1,2,1,1,2,,,,Blacktop for wheeled toys plus a huge field for ball play.  Separate play areas for younger and older children. There are several benches and picnic tables. Restrooms are in the community center. Community dog park (well-fenced) next to the playground.
,Madison Manor Park,,1,2 ,2,3,,3,3,2,,,,3,3,2,,,,,,,,,,,,,-77.1502322654585,38.8820746755144,,,6225 12th Rd N,22205,2,3,2,1,2,2,1,1,1,2,2,1,2,1,1,2,1,1,2,1,2,1,1,1,,,,"Tennis courts (reservations needed), soccer field, and covered pavilion with picnic tables and grill. Small parking lot, as well as street parking. Situated within a neighborhood, so families can also walk. Restrooms closed during winter months."
,Maury Park,,1,2 ,2 ,3,,3,3,3,,,,3,3,1,,,,,,,,,,,,,-77.1020934002522,38.8817351627305,,,3550 Wilson Blvd,22201,3,2,2,1,1,1,1,1,1,1,2,2,1,1,1,1,1,2,1,1,2,1,1,3,,,,"Play structure is a piece of interactive sculpture created by a German artist to match the same one he created for Aachen, Arlington's German sister city.  It's a play ship with a spinning bottom and kaleidoscope ""telescopes"" on the top level. It's located at the southwest corner of the Arlington Arts Center lawn. Surface is molded foam.  One steering wheel element is accessible from the ground. There are temporary art installments on the lawn of the Arlington Arts Center. Tennis courts; two large grassy areas. Parking lot (~25 spaces) for Center and park visitors. Two blocks from Virginia Square Metro Station; bus stop on Wilson Blvd. Restrooms in the Arts Center. "
,Maywood Park,,1,2,1,3,,2,3,2,,,,3,1,1,,,,,,,,,,,,,-77.1001594633731,38.8975324531267,,,3210 22nd St N,22201,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,,,,Small playground for young children.
,McKinley Elementary,,2,2 ,2,2,"School playgrounds are open after school and on the weekends.  However, school activities, including Extended Day have priority use.  Children are expected to be supervised by an adult while using the playgrounds.",3,3,1,,,,3,1,1,,,,,,,,,,,,,-77.14674171770,38.87865534610,,,1030 N McKinley Road,22205,3,2,1,1,1,1,1,1,1,2,2,2,1,1,2,1,1,1,2,2,2,1,2,1,,,,"Playground has mulch in play areas, which are separated by age group. Preschool area is over by the huts. There is no seating; trees and houses line the backside of the park. Located at a neighborhood schoo; may not be accessible during non school hours. The field  is for use by permit only. No dogs are allowed in the area. Ample parking in the school parking lot. "
,Monroe Park,,2,2 ,2 ,3,,2,3,2,,,,2,1,1,,,,,,,,,,,,,-77.0926208259022,38.8574138167519,,,1330 S Monroe St,22204,3,3,1,1,2,2,1,1,1,2,2,1,2,2,2,2,1,2,1,1,2,1,1,3,chalkboard,,,"Chalkboard, community posting board for people to post community events. Dog friendly, but must have leash."
,Mosaic Park,,1,1,2,3,,3,3,1,,,,3,1,1,,,,,,,,,,,,,-77.106926945953,38.8779762686594,,,538 N. Pollard St,22203,2,2,1,1,1,1,1,2,1,1,2,1,2,2,2,1,1,2,1,1,2,1,1,1,,,,"Skate board features are not separate from the playground area itself, which could be challenging for minding young children. Entrance to the park somewhat hidden; approach  from route 50 (Arlington Boulevard). Some GPS will direct you to the wrong side of the park. No public restrooms at the site, but a couple of kid friendly restaurants are located across the street. "
,Nauck Park,,1,1,2 ,3,,2,3,3,,,,3,3,1,,,,,,,,,,,,,-77.0821646607301,38.8549725140719,,,2551 19th St S,22204,2,3,1,1,2,1,1,1,1,2,1,2,1,1,1,1,1,2,1,1,2,2,1,3,,,,"Limited play features: two swings, a slide and a spinning seat. Limited open space. Woods area is beyond the park fence. Seems very isolated on a dead end street. Clean, but no art or decorative features."
,Nelly Custis Park,,2,2 ,1,3,,3,3,3,,,,3,1,1,,,,,,,,,,,,,-77.0577960073773,38.8525957587439,,,701 24th St S,22202,3,3,1,1,2,1,1,1,1,2,2,1,1,1,1,1,1,2,1,1,2,1,1,3,,,,"Great (paved) path for young kids to use wheeled toys. Play area mostly mulch and grass. Bus stop ~1 block away; another line ~4 blocks away. Easy to drive to, but only street parking available with permit. No decorative elements, but attractive park."
,Nina Park,,2,2 ,1,3,,3,3,3,,,,3,1,1,,,,,,,,,,,,,-77.0597736594862,38.8520785080709,,,800 24th St S,22202,2,3,2,1,1,2,1,1,1,1,1,1,1,1,2,1,1,2,1,1,2,1,1,2,,,,"Lots of riding toys and plastic play equipment for young children. Also features a ""wave wall"" and pretend boat. Surface includes grass and sand, but there are some areas accessible to children with physical disabilities. Bus stop ~1 block away. Easy to drive to, but only street parking only available with permit."
,Nottingham Elementary School,,1,2 ,2,2,"School playgrounds are open after school and on the weekends.  However, school activities, including Extended Day have priority use.  Children are expected to be supervised by an adult while using the playgrounds.",2,3,1,,,,3,1,1,,,,,,,,,,,,,-77.15092559630,38.90061269290,,,5900 N Little Falls Road,22207,3,2,1,1,1,1,1,1,1,2,2,1,1,2,1,1,1,2,2,2,2,1,1,1,,,,"The 2-5 playground is in front of the school, and the play features for older children are behind the school with the fields."
,Oakgrove Park,,1,2 ,2,3,,,,,,,,,1,1,,,,,,,,,,,,,-77.1088667310313,38.8905134538785,,,1606 N Quincy St,22207,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
